type,cpu,time,iterations
0,4,0.05707,218
1,4,2.6154,14760
0,4,4.16012,27433
1,4,1.55195,10019
0,4,4.39401,26271
1,4,15.3244,103404
0,4,10.0985,65513
1,4,27.0166,174692
0,4,24.6549,159261
1,4,7.50099,49570
0,6,1.31892,7005
1,6,0.926947,5102
0,6,10.9418,37230
1,6,6.33152,32213
0,6,0.200806,765
1,6,0.965877,3224
0,6,35.7226,119555
1,6,0.0297961,0
0,6,1.34513,6131
1,6,1.00008,3374
0,8,8.7807,24997
1,8,5.27648,14402
0,8,0.705929,2223
1,8,1.0479,2846
0,8,3.23945,8101
1,8,9.30013,24179
0,8,2.84886,7403
1,8,0.286488,110
0,8,5.3871,13409
1,8,0.0687839,96
0,12,2.03145,5897
1,12,2.89642,8743
0,12,9.73313,27284
1,12,7.85125,22928
0,12,0.420646,729
1,12,0.872704,2227
0,12,16.6055,45040
1,12,8.15974,23770
0,12,0.999782,2809
1,12,0.728255,2078
0,16,10.8729,26178
1,16,12.2607,31572
0,16,7.39388,17731
1,16,3.08436,7513
